CNPJ Básico,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
40977594,1,0,1,IGREJA PENTECOSTAL UMA NOVA UNCAO,2,20210216,0,,,20210216,9491000,,RUA,LUCIANO QUEIROS,SN,Q004 L007,HENRIQUE JORGE,60510176,CE,1389,85.0,84005853,,,,,,,
42607910,1,87,1,IGREJA PENTECOSTAL MISSAO EIS-ME AQUI,2,20210706,0,,,20210706,9491000,,RUA,RECANTO VERDE,1882,LETRA B,JANGURUSSU,60870520,CE,1389,85.0,89359543,,,,,GILDSONMACIEL@HOTMAIL.COM,,
43450762,1,0,1,IGREJA AVIVADA DESPERTA PARA VIDA ETERNA,2,20210903,0,,,20210903,9491000,,RUA,816 (CONJ. CEARA I),121,Q199,CONJUNTO CEARA I,60532180,CE,1389,85.0,86003050,,,,,PENTECOSTALIGREJA74@GMAIL.COM,,
37997336,1,80,1,,2,20200806,0,,,20200806,9491000,,RUA,DA GLORIA (PLANALTO AYRTON SENNA),411,,PLANALTO AYRTON SENNA,60766730,CE,1389,85.0,87387990,,,,,IGREJAPENTECOSTALCB@GMAIL.COM,,
38068915,1,1,1,,2,20200812,0,,,20200812,9491000,,RUA,C (CONJ. RES. JARDIM PRIMAVERA),366,,PARQUE DOIS IRMAOS,60743235,CE,1389,85.0,99984292,,,,,ECLESIEBARRETOADVOGADA@GMAIL.COM,,
42475709,1,93,1,IGREJA EVANGELICA CASA DE ORACAO ENCONTRO COM CRISTO,2,20210423,0,,,20210423,9491000,,RUA,PROFESSOR HERIBALDO COSTA,1935,,JOAO XXIII,60525335,CE,1389,85.0,94185869,,,,,MESQUITADANIEL716@GMAIL.COM,,
37117322,20,98,2,COMUNIDADE EVANGELICA SARA NOSSA TERRA,2,20050924,0,,,19950316,9491000,,AVENIDA,JOAO PESSOA,3344,,BENFICA,60425680,CE,1389,,,,,,,,,
39441444,1,6,1,,2,20200923,0,,,20200923,9491000,,RUA,IGUAPE,420,,PARANGABA,60720490,CE,1389,85.0,32876610,,,,,MARGARIDAMARIA.SOUSA@BOL.COM.BR,,
40192473,1,52,1,APOMETRIA DO AMOR,2,20201223,0,,,20201223,9491000,,RUA,DOUTOR MIGUEL COUTO,601,,PAUPINA,60872665,CE,1389,61.0,84246546,,,,,FAIBAR47@YAHOO.COM.BR,,
40202361,1,35,1,,2,20201228,0,,,20201228,9491000,,RUA,PROFESSOR CARVALHO,3071,SALA 01,JOAQUIM TAVORA,60120205,CE,1389,85.0,84256104,,,,,CONTYASSESSORIA@GMAIL.COM,,
40560063,1,17,1,,2,20210126,0,,,20210126,9491000,,RUA,1008 (CONJ. CEARA II),19,,CONJUNTO CEARA II,60532640,CE,1389,85.0,86442274,,,,,ISRAEL.BRUTTOS92@GMAIL.COM,,
38153990,1,70,1,COMUNIDADE APOSTOLICA AGUA DA VIDA,2,20191223,0,,,20191223,9491000,,AVENIDA,AUGUSTO DOS ANJOS,1988,,BONSUCESSO,60542164,CE,1389,85.0,85001303,85.0,85706732,,,CONTATOISABELGOUVEIA@GMAIL.COM,,
37560260,1,21,1,,2,20200610,0,,,20200610,9491000,,AVENIDA,PREFEITO EVANDRO AYRES DE MOURA,822,,MONDUBIM,60752310,CE,1389,85,88267005,,,,,EFICIENCECONTABIL@GMAIL.COM,,
37642057,1,2,1,CASA ESPIRITA TERESA D'AVILA,2,20200703,0,,,20200703,9491000,,RUA,LIVIO BARRETO,1239,,DIONISIO TORRES,60135228,CE,1389,85,81088030,,,,,LISPAZEBEM@GMAIL.COM,,
37665746,1,24,1,GRACA E PAZ CHURCH,2,20200709,0,,,20200709,9491000,,RUA,505 (CONJ. CEARA II),41,,CONJUNTO CEARA II,60531270,CE,1389,85,85290232,,,,,ARIJUNIOR1@HOTMAIL.COM,,
39380567,1,76,1,,2,20201006,0,,,20201006,9491000,,AVENIDA,FELINO BARROSO,641,,FATIMA,60050130,CE,1389,85,91055058,,,,,REVERENDOJP@GMAIL.COM,,
40995309,1,83,1,MINISTERIO BUSCAI,2,20210225,0,,,20210225,9491000,,AVENIDA,OSCAR ARARIPE,924,,BOM JARDIM,60543452,CE,1389,85,88674508,,,,,EUDEMONTEIRO@HOTMAIL.COM,,
41245070,1,97,1,,2,20210316,0,,,20210316,9491000,,RUA,SEIXAS CORREIA,944,B,BONSUCESSO,60520795,CE,1389,85,98208255,,,,,PR_SAULOSANTOS@HOTMAIL.COM,,
43002316,1,25,1,IGREJA CRISTA NOVO HORIZONTE ICNH,2,20201217,0,,,20201217,9491000,,AVENIDA,JOSE TAVARES,844,A,CONJUNTO ESPERANCA,60763644,CE,1389,85,99977747,,,,,,,
43689545,1,60,1,IGREJA BATISTA SALEM EM GRANJA PORTUGAL,2,20210920,0,,,20210920,9491000,,RUA,LONDRINA,1048,,GRANJA PORTUGAL,60541162,CE,1389,85,87942213,,,,,REGINALDOSALEM@GMAIL.COM,,
38083295,1,80,1,,2,20200311,0,,,20200311,9491000,,RUA,SAO JOAO DEL REI,530,,EDSON QUEIROZ,60834452,CE,1389,85.0,88888888,,,,,,,
38093877,1,47,1,IPCO,2,20200619,0,,,20200619,9491000,,RUA,FRANCO ROCHA,340,,PICI,60510450,CE,1389,85.0,85405048,,,,,CASA_DO_OLEIRO@YAHOO.COM,,
39359319,1,43,1,IGREJA ASSEMBLEIA DE DEUS MINISTERIO JEFTE,2,20200917,0,,,20200917,9491000,,RUA,DOUTOR PROCOPIO,1266,,MONDUBIM,60764605,CE,1389,85.0,41040161,,,,,JHSSERVICOSCONTABEIS@GMAIL.COM,,
42604254,1,69,1,,2,20210525,0,,,20210525,9491000,,RUA,JOAO SORONGO,139,,JARDIM AMERICA,60416000,CE,1389,95.0,88113695,,,,,ALTEVI7@HOTMIL.COM,,
43546045,1,79,1,IAD,2,20210916,0,,,20210916,9491000,,RUA,ASSIS BEZERRA,310,,ALVARO WEYNE,60335360,CE,1389,85.0,30387282,,,,,NATOCB@GMAIL.COM,,
38063271,1,69,1,IGREJA PENTECOSTAL MARCADOS EM CRISTO,2,20200811,0,,,20200811,9491000,,RUA,SANTA LUCRECIA,949,LOJA 05,PAUPINA,60872460,CE,1389,85.0,87441943,,,,,ALMIR_GAMA@HOTMAIL.COM,,
38438167,1,1,1,,2,20200903,0,,,20200903,9491000,"9493600,95",RUA,PASSO FUNDO,105,,GENIBAU,60534640,CE,1389,85.0,85757980,,,,,NONATOSILVA88@BOL.COM.BR,,
40019253,1,21,1,IGREJA ASSEMBLEIA DE DEUS MINISTERIO PROJETO FAMILIA,2,20201118,0,,,20201118,9491000,,RUA,DOUTOR RAIMUNDO MAIA,483,,MONDUBIM,60761520,CE,1389,85.0,89910151,85.0,85706732.0,,,PASTORMARCOS1994@GMAIL.COM,,
40418296,1,80,1,IPM DAS GRANDEZAS DE DEUS,2,20210115,0,,,20210115,9491000,,RUA,DA ALBACORA,179,,VICENTE PINZON,60181350,CE,1389,85.0,99351535,,,,,RAFAELLIMA.RSILVA@GMAIL.COM,,
40515250,1,89,1,IGREJA A GLORIA DO SENHOR,2,20210122,0,,,20210122,9491000,,RUA,ANTONIO COSTA MENDES,1115,,VILA PERI,60730175,CE,1389,85.0,91117630,85.0,91572859.0,,,,,
40574466,1,15,1,COMUNIDADE CRISTA DUNAMYS,2,20210120,0,,,20210120,9491000,8230001,AVENIDA,CORONEL MIGUEL DIAS,1404,,GUARARAPES,60810160,CE,1389,85.0,91947743,,,,,CCDUNAMYS@GMAIL.COM,,
40902034,1,96,1,IGREJA ASSEMBLEIA DE DEUS PALAVRA RENOVADORA,2,20210218,0,,,20210218,9491000,,RUA,FRANCISCO JOSE DA COSTA,329,,BARROSO,60862630,CE,1389,85.0,99634771,,,,,EDUARDOLIMA060975@GMAIL.COM,,
43823675,1,43,1,CASA DE ORACAO,2,20210802,0,,,20210802,9491000,,RUA,ALBANO AMARAL,1008,,MANOEL SATIRO,60713200,CE,1389,85.0,89415991,,,,,CASADEORA7@GMAIL.COM,,
37746837,1,94,1,ASSEMBLEIA DE DEUS MANANCIAL DA PAZ,2,20200713,0,,,20200713,9491000,,RUA,SAO TIMOTEO,1910,,CANINDEZINHO,60731050,CE,1389,85.0,88155591,,,,,CANELADEFOGO1983@GMAIL.COM,,
39157522,1,37,1,,2,20200716,0,,,20200716,9491000,,AVENIDA,BEZERRA DE MENEZES,1610,,SAO GERARDO,60325001,CE,1389,85.0,86427257,,,,,VASCONCELOSCONTABILIDADE@YAHOO.COM,,
39615220,1,65,1,IGREJA CRISTA ALTAR DA ADORACAO,2,20201029,0,,,20201029,9491000,,RUA,PAJE,390,,BARRA DO CEARA,60331320,CE,1389,85.0,86075520,,,,,EDILEUSA.PASTORA29@GMAIL.COM,,
40495591,1,30,1,IPNACD,2,20201207,0,,,20201207,9491000,,RUA,PROFESSOR EDGARD DE ARRUDA,2193,,AUTRAN NUNES,60526639,CE,1389,85.0,30818949,,,,,VICTOR.FALCAO@HOTMAIL.COM,,
42925527,1,77,1,IGREJA PENTECOSTAL SANTUARIO DOS MILAGRES,2,20201218,0,,,20201218,9491000,,RUA,DESEMBARGADOR VALDETARIO PINHEIRO MOTA,558,A,PAPICU,60175742,CE,1389,85.0,86668717,85.0,85706732.0,,,PASTORERASMORAMOS@GMAIL.COM,,
43179445,1,93,1,IGREJA PENTECOSTAL SEMEANDO EM SOLO FERTIL,2,20210729,0,,,20210729,9491000,,RUA,ARTUR DE CARVALHO,339,,VILA UNIAO,60410712,CE,1389,85.0,86381083,85.0,91702900.0,85.0,33333333,MARCELO100NA@HOTMAIL.COM,,
43467524,1,8,1,IGREJA IBEREI,2,20151202,0,,,20151202,9491000,,AVENIDA,MARIA GOMES DE SA,1240,A,MONDUBIM,60765173,CE,1389,85.0,88505483,,,,,ESCRITORIOASCONTA@OUTLOOK.COM,,
37222959,1,81,1,PAZ E BEM,2,20200525,0,,,20200525,9491000,,AVENIDA,BARAO DE STUDART,2360,706,JOAQUIM TAVORA,60120002,CE,1389,85.0,99729151,,,,,CONTERC@HOTMAIL.COM,,
39357947,1,90,1,IPJS,2,20200904,0,,,20200904,9491000,,RUA,ANA STUDART,107,,PICI,60511755,CE,1389,85.0,92038977,,,,,,,
41179135,1,43,1,AD REFORMADA PENTECOSTAL,2,20201130,0,,,20201130,9491000,,RUA,E DO LOTEAMENTO AV. DOS EXPEDICIONARIOS I,618,,PARQUE DOIS IRMAOS,60745560,CE,1389,85.0,87993840,,,,,JBOTORRES@GMAIL.COM,,
37423612,1,5,1,IGREJA BATISTA SOUL LIVRE,2,20200424,0,,,20200424,9491000,,RUA,JOAO GENTIL,469,AP 406,BENFICA,60020100,CE,1389,85.0,98017820,85.0,99923089.0,0.0,0,FILIPESCARCELLA@GMAIL.COM,,
42731964,1,50,1,ASSOCIACAO DE AMOR O VERBO,2,20210715,0,,,20210715,9491000,"8800600,943",RUA,TANCREDO DE SOUZA CARVALHO,1283,,EDSON QUEIROZ,60834065,CE,1389,85.0,97301070,,,,,ASSOCIACAOOVERBO@GMAIL.COM,,
42736481,1,48,1,IGREJA EVANGELICA O SANGUE DE JESUS TEM PODER,2,20210701,0,,,20210701,9491000,,RUA,MANUEL NUNES,126,,ANTONIO BEZERRA,60356835,CE,1389,85.0,88325135,,,,,NUNESDOVALE@HOTMAIL.COM,,
43473746,1,25,1,,2,20201028,0,,,20201028,9491000,,AVENIDA,C ARACAPE,291,Q-D L-06,MONDUBIM,60765052,CE,1389,85.0,98813915,,,,,MARDENSNOBRE@GMAIL.COM,,
43677025,1,37,1,,2,20210914,0,,,20210914,9491000,,AVENIDA,GURGEL DO AMARAL,1272,,COACU,60871660,CE,1389,85.0,97885189,,,,,MINISTERIOEFRAIMICME@GMAIL.COM,,
