,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
34,34,102275-0,ARQUIDIOCESE DE FORTALEZA,R SEN ROBERT KENNEDY 641  BARRA DO CEARÁ FORTALEZA - CE CEP:60332170,Católica Apostólica Romana,-3.705982999999999,-38.579921,Barra do Ceará,Barra do Ceará,6
35,35,163559-0,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 904  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7533348,-38.5525215,Damas,Damas,13
36,36,166600-2,ARQUIDIOCESE DE FORTALEZA,R CON DE CASTRO   SN PARANGABA FORTALEZA - CE CEP:60720095,Católica Apostólica Romana,-3.788065,-38.5762565,Vila Peri,Vila Peri,108
37,37,129834-8,ARQUIDIOCESE DE FORTALEZA,R  ALBERTO FERREIRA 230  IGREJA JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Católica Apostólica Romana,-3.7207074,-38.5833768,Jardim Iracema,Jardim Iracema,21
38,38,163554-9,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 872  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7530926,-38.5523379,Damas,Damas,13
39,39,295231-9,ARQUIDIOCESE DE FORTALEZA,AV  ALBERTO CRAVEIRO   VAGO BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60860005,Católica Apostólica Romana,-3.801471899999999,-38.519528,Castelão,Boa Vista/Castelão,95
40,40,21224-5,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 15  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.725264699999999,-38.4991237,Meireles,Meireles,24
41,41,147513-4,ARQUIDIOCESE DE FORTALEZA,R PRO LINO ENCARNACAO   SN AMADEU FURTADO FORTALEZA - CE CEP:60450235,Católica Apostólica Romana,-3.7444399,-38.5600819,Amadeu Furtado,Amadeu Furtado,4
42,42,205655-0,ARQUIDIOCESE DE FORTALEZA,R  PERDIGAO DE OLIVEIRA 1138  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Católica Apostólica Romana,-3.773913,-38.5793513,Jóquei Clube,Jóquei Clube,101
43,43,68899-1,ARQUIDIOCESE DE FORTALEZA,AV  FILOMENO GOMES   SN MOURA BRASIL FORTALEZA - CE CEP:60010280,Católica Apostólica Romana,-3.7193414,-38.5414654,Moura Brasil,Centro,10
44,44,261744-7,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO ROCHA  EDIFICIO IGREJA JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821140,Católica Apostólica Romana,-3.7778961,-38.4989637,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
45,45,3129-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
46,46,30120-5,ARQUIDIOCESE DE FORTALEZA,AV  13 DE MAIO   SN FÁTIMA FORTALEZA - CE CEP:60040530,Católica Apostólica Romana,-3.750993999999999,-38.527244,Fátima,Fátima,16
47,47,1738-8,ARQUIDIOCESE DE FORTALEZA,R COS VIEIRA DA SILVA 349  PARQUELÂNDIA FORTALEZA - CE CEP:60450305,Católica Apostólica Romana,-3.7367432,-38.55471989999999,Parquelândia,Parquelândia,29
48,48,171409-0,ARQUIDIOCESE DE FORTALEZA,AV  BEIRA MAR 4600  MUCURIPE FORTALEZA - CE CEP:60165121,Católica Apostólica Romana,-3.722291,-38.480332,Meireles,Mucuripe,26
49,49,62875-1,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO AUGUSTO 679  MEIRELES FORTALEZA - CE CEP:60110370,Católica Apostólica Romana,-3.7265497,-38.5121346,Meireles,Meireles,24
50,50,3132-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
51,51,73939-1,ARQUIDIOCESE DE FORTALEZA,R COD D'EU   SN CENTRO FORTALEZA - CE CEP:60055070,Católica Apostólica Romana,-3.7257166,-38.5255143,Centro,Centro,10
52,52,156811-6,ARQUIDIOCESE DE FORTALEZA,R  RIO ARAGUAIA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60340000,Católica Apostólica Romana,-3.7297393,-38.5822264,Jardim Iracema,Jardim Iracema,21
53,53,303042-3,ARQUIDIOCESE DE FORTALEZA,AV  WENEFRIDO MELO 88  MONDUBIM FORTALEZA - CE CEP:60762410,Católica Apostólica Romana,-3.8090629,-38.5778905,Mondubim,Mondubim,83
54,54,16438-0,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7420931,-38.5405526,Benfica,Benfica,7
55,55,232665-5,ARQUIDIOCESE DE FORTALEZA,AV  AUDIZIO PINHEIRO   SN JOÃO XXIII FORTALEZA - CE CEP:60526025,Católica Apostólica Romana,-3.7665936,-38.5929898,João XXIII,Henrique Jorge,45
56,56,262291-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE GUILHERME DA COSTA   M.DEUS ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811300,Católica Apostólica Romana,-3.7769581,-38.48793149999999,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
57,57,16437-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7420931,-38.5405526,Benfica,Benfica,7
58,58,21911-8,ARQUIDIOCESE DE FORTALEZA,R  JOAQUIM NABUCO 176  MEIRELES FORTALEZA - CE CEP:60125120,Católica Apostólica Romana,-3.7271,-38.498635,Meireles,Meireles,24
59,59,163550-6,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3935  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.752752,-38.553052,Jacarecanga,Damas,13
60,60,86938-4,ARQUIDIOCESE DE FORTALEZA,R NSA DAS GRACAS   SN PIRAMBÚ FORTALEZA - CE CEP:60310770,Católica Apostólica Romana,-3.7098161,-38.5542883,Pirambu,Pirambu,31
61,61,163548-4,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3951  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.7537702,-38.5538192,Damas,Damas,13
62,62,163558-1,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 900  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7532555,-38.5525215,Damas,Damas,13
63,63,544626-0,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  SL-01 AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-3.7447461,-38.5582749,Parquelândia,Amadeu Furtado,4
64,64,74512-0,ARQUIDIOCESE DE FORTALEZA,R SEN POMPEU 1208  CENTRO FORTALEZA - CE CEP:60025000,Católica Apostólica Romana,-3.7291763,-38.5305803,Centro,Centro,10
65,65,137209-2,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1264  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-3.7317603,-38.56476139999999,Álvaro Weyne,Presidente Kennedy,33
66,66,3128-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES 1256  SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.733699299999999,-38.5561417,Farias Brito,São Gerardo,1
67,67,9824-8,ARQUIDIOCESE DE FORTALEZA,R MAJ PEDRO SAMPAIO 300  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430180,Católica Apostólica Romana,-3.740917,-38.54849,Rodolfo Teófilo,Rodolfo Teófilo,34
68,68,73264-8,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 244  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7261932,-38.5207716,Centro,Centro,10
69,69,21225-3,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 509  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.729607799999999,-38.50048,Meireles,Meireles,24
70,70,239518-5,ARQUIDIOCESE DE FORTALEZA,R  FERNANDO F. DE MELO 840  MANOEL SÁTIRO FORTALEZA - CE CEP:60713480,Católica Apostólica Romana,-3.7978684,-38.5787441,Manuel Sátiro,Manoel Sátiro,81
71,71,163549-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3945  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.7537702,-38.5538192,Damas,Damas,13
72,72,6128-0,ARQUIDIOCESE DE FORTALEZA,R  JOSE FACANHA    VAZIO RODOLFO TEÓFILO FORTALEZA - CE CEP:60426112,Católica Apostólica Romana,-3.7528513,-38.5565159,Rodolfo Teófilo,Rodolfo Teófilo,34
73,73,63468-9,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7240253,-38.5194377,Centro,Centro,10
74,74,44361-1,ARQUIDIOCESE DE FORTALEZA,R DOM JERONIMO   S/N FARIAS BRITO FORTALEZA - CE CEP:60011170,Católica Apostólica Romana,-3.73509,-38.5430832,Farias Brito,Farias Brito,15
75,75,60512-3,ARQUIDIOCESE DE FORTALEZA,AV  C (CONJ. PREF. JOSE WALTER) 435  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750020,Católica Apostólica Romana,-3.8287325,-38.5558816,Prefeito José Walter,Prefeito José Walter,89
76,76,73115-3,ARQUIDIOCESE DE FORTALEZA,R CEL FERRAZ 120  CENTRO FORTALEZA - CE CEP:60060150,Católica Apostólica Romana,-3.727761099999999,-38.5233383,Centro,Centro,10
77,77,67423-0,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA 1564  CENTRO FORTALEZA - CE CEP:60030141,Católica Apostólica Romana,-3.7229364,-38.5397628,Centro,Centro,10
78,78,65204-0,ARQUIDIOCESE DE FORTALEZA,AV ALM BARROSO 1011  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060440,Católica Apostólica Romana,-3.7199229,-38.5138807,Praia de Iracema,Praia de Iracema,32
79,79,137208-4,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1364  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-3.7328526,-38.56476960000001,Álvaro Weyne,Presidente Kennedy,33
80,80,39136-0,ARQUIDIOCESE DE FORTALEZA,R MON SALAZAR 342  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130370,Católica Apostólica Romana,-3.7564853,-38.5166858,São João do Tauape,Tauape,35
81,81,45338-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 1896  BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734638899999999,-38.5341505,Benfica,Benfica,7
82,82,78242-4,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA   SN-2 CENTRO FORTALEZA - CE CEP:60030140,Católica Apostólica Romana,-3.726534,-38.5294422,Centro,Centro,10
83,83,285004-4,ARQUIDIOCESE DE FORTALEZA,R PDE PEDRO DE ALENCAR 281  MESSEJANA FORTALEZA - CE CEP:60840280,Católica Apostólica Romana,-3.8302625,-38.4937148,Messejana,Messejana,65
84,84,582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010,Evangélicas,-3.8160988,-38.5807897,Mondubim,Mondubim,83
128,129,354729-9,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  F (LOT. CENTRO SUL) 42  PLANOURBANIZACAO-RSAOLUIZ PARANGABA FORTALEZA - CE CEP:60740155,Outras religiosidades,-3.775767,-38.5559626,Parangaba,Parangaba,105
129,130,347041-5,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISQUINHA PORTELA 2660  QUINTINO CUNHA FORTALEZA - CE CEP:60351840,Outras religiosidades,-3.728213499999999,-38.5994464,Quintino Cunha,Quintino Cunha,48
130,131,543068-2,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  AMETISTA 321  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Outras religiosidades,-3.7222424,-38.5513728,Carlito Pamplona,Carlito Pamplona,9
131,132,293068-4,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISCO ALMEIDA 245  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763595,Outras religiosidades,-3.8175168,-38.5909888,Conjunto Esperança,Conjunto Esperança,76
132,133,319738-7,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO SOLON FARIAS 509  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833172,Outras religiosidades,-3.7925517,-38.4766348,Cambeba,Sapiranga/Coité,64
133,134,175095-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO HERACLITO 196  VICENTE PINZON FORTALEZA - CE CEP:60181245,Outras religiosidades,-3.73135,-38.4798523,Vicente Pinzon,Vicente Pinzón,37
134,135,324991-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CHICO FRANCA 710  MESSEJANA FORTALEZA - CE CEP:60871100,Outras religiosidades,-3.8345771,-38.4966951,Messejana,Messejana,65
135,136,89249-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  DIOGUINHO 5720 OUTRO TEMPLO RELIGIOSO PRAIA DO FUTURO II FORTALEZA - CE CEP:60183706,Outras religiosidades,-3.7638491,-38.4424548,Vicente Pinzon,Praia do Futuro II,114
136,137,282250-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  PEDRO VERISSIMO 3536  PASSARÉ FORTALEZA - CE CEP:60861680,Outras religiosidades,-3.813223799999999,-38.5284983,Passaré,Passaré,88
137,138,293286-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RAQUEL PIRES RIBEIRO 495  MONDUBIM FORTALEZA - CE CEP:60767255,Outras religiosidades,-3.820278,-38.57952,Mondubim,Mondubim,83
138,139,110549-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  WALTER POMPEU 670  ÁLVARO WEYNE FORTALEZA - CE CEP:60337120,Outras religiosidades,-3.7118086,-38.5683999,Álvaro Weyne,Álvaro Weyne,3
139,140,494609-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  13 (CJ SITIO DO CORREGO) 500  BARROSO FORTALEZA - CE CEP:60863013,Outras religiosidades,-3.8188482,-38.5722435,Mondubim,Mondubim,83
140,141,500429-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  CONTORNO SUL (CONJ. SAO CRISTOVAO) 600  LTS 03. PL 4 E 5 JANGURUSSU FORTALEZA - CE CEP:60866590,Outras religiosidades,-3.8376622,-38.5194787,Jangurussu,Jangurussu,61
141,142,162116-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R FRE VICENTE SALVADOR 431  PARREÃO FORTALEZA - CE CEP:60410405,Outras religiosidades,-3.7615766,-38.5406953,Parreão,Parreão,30
142,143,38470-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CRUZ ABREU 604  TEMPLORELIGIOSO SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Outras religiosidades,-3.7579089,-38.5105413,São João do Tauape,Tauape,35
143,144,279527-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  FRANCISCO VILELA 290  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861140,Outras religiosidades,-3.7977648,-38.5157922,Boa Vista,Boa Vista/Castelão,95
144,145,239156-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R DR JOAO AMORA 528  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Outras religiosidades,-3.7996525,-38.5790689,Manuel Sátiro,Manoel Sátiro,81
145,146,119161-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RERIUTABA 1415  VILA VELHA FORTALEZA - CE CEP:60330591,Outras religiosidades,-3.7157048,-38.5912273,Vila Velha,Vila Velha,39
146,147,133881-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CARLOS CHAGAS 2595  GRANJA PORTUGAL FORTALEZA - CE CEP:60541555,Outras religiosidades,-3.7750491,-38.6032437,Granja Portugal,Granja Portugal,79
147,148,403959-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  ARACA 225  BONSUCESSO FORTALEZA - CE CEP:60545380,Outras religiosidades,-3.754594,-38.5846919,Dom Lustosa,Dom Lustosa,43
148,149,119434-8,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO RAIMUNDO GOMES 515  VILA VELHA FORTALEZA - CE CEP:60347165,Outras religiosidades,-3.7136297,-38.5929587,Jardim Guanabara,Vila Velha,39
149,150,274413-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R SAO FRANCISCO 341  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-3.7992832,-38.6004801,Jardim Jatobá,Bom Jardim,72
150,151,319666-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV PIN ANTONIO BANDEIRA 990  VICENTE PINZON FORTALEZA - CE CEP:60182304,Outras religiosidades,-3.7264197,-38.4630985,Vicente Pinzon,Vicente Pinzón,37
151,152,253932-2,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,R  CARAMURU 269  SERRINHA FORTALEZA - CE CEP:60742175,Outras religiosidades,-3.7891102,-38.5410687,Itaperi,Serrinha,107
152,153,403886-0,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,AV PRO JOSE ARTHUR DE CARVALHO 2605  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Outras religiosidades,-3.8235991,-38.4563999,Lagoa Redonda,Lagoa Redonda,63
153,154,355023-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  SIMAO SANTOS 421  PAUPINA FORTALEZA - CE CEP:60875020,Outras religiosidades,-3.8627006,-38.4932315,São Bento,Paupina,68
154,155,602505-6,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALEXANDRE BARAUNA 80  IGREJA JARDIM AMÉRICA FORTALEZA - CE CEP:60416130,Outras religiosidades,-3.7534144,-38.5453522,Rodolfo Teófilo,Jardim América,19
155,156,366516-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALBERTO JUNIOR 79  EDSON QUEIROZ FORTALEZA - CE CEP:60811655,Outras religiosidades,-3.774772,-38.4789553,Edson Queiroz,Edson Queiroz,57
156,157,51324-5,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JAIME BENEVOLO 875  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050081,Outras religiosidades,-3.7398909,-38.5277076,José Bonifacio,José Bonifácio,23
157,158,100348-8,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  BENTO ALBUQUERQUE 2265  COCÓ FORTALEZA - CE CEP:60192050,Outras religiosidades,-3.7483336,-38.4680299,Cocó,Cocó,11
158,159,454308-4,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JOAQUIM FELICIO 1881  GUAJERU FORTALEZA - CE CEP:60843260,Outras religiosidades,-3.8317364,-38.4783921,Guajerú,Guajeru,59
159,160,258437-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  BENJAMIM BRASIL 618  MONDUBIM FORTALEZA - CE CEP:60711442,Outras religiosidades,-3.8049575,-38.5676269,Jardim Cearense,Mondubim,83
160,161,138392-2,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ANTONIO LAFAYETTE 180  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356140,Outras religiosidades,-3.734119199999999,-38.5744964,Presidente Kennedy,Presidente Kennedy,33
