INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
163554-9,R  MATOS VASCONCELLOS 872  DAMAS FORTALEZA - CE CEP:60440018,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
295231-9,AV  ALBERTO CRAVEIRO   VAGO BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60860005,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
21224-5,R  TIBURCIO CAVALCANTI 15  MEIRELES FORTALEZA - CE CEP:60125100,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
147513-4,R PRO LINO ENCARNACAO   SN AMADEU FURTADO FORTALEZA - CE CEP:60450235,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
205655-0,R  PERDIGAO DE OLIVEIRA 1138  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
68899-1,AV  FILOMENO GOMES   SN MOURA BRASIL FORTALEZA - CE CEP:60010280,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
261744-7,R  ANTONIO ROCHA  EDIFICIO IGREJA JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821140,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
3129-1,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
30120-5,AV  13 DE MAIO   SN FÁTIMA FORTALEZA - CE CEP:60040530,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
1738-8,R COS VIEIRA DA SILVA 349  PARQUELÂNDIA FORTALEZA - CE CEP:60450305,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
171409-0,AV  BEIRA MAR 4600  MUCURIPE FORTALEZA - CE CEP:60165121,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
62875-1,R  ANTONIO AUGUSTO 679  MEIRELES FORTALEZA - CE CEP:60110370,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
3132-1,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
73939-1,R COD D'EU   SN CENTRO FORTALEZA - CE CEP:60055070,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
156811-6,R  RIO ARAGUAIA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60340000,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
303042-3,AV  WENEFRIDO MELO 88  MONDUBIM FORTALEZA - CE CEP:60762410,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
16438-0,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
232665-5,AV  AUDIZIO PINHEIRO   SN JOÃO XXIII FORTALEZA - CE CEP:60526025,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
262291-2,R  JOSE GUILHERME DA COSTA   M.DEUS ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811300,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
16437-2,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
21911-8,R  JOAQUIM NABUCO 176  MEIRELES FORTALEZA - CE CEP:60125120,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163550-6,R  JOSE BASTOS 3935  DAMAS FORTALEZA - CE CEP:60442108,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
86938-4,R NSA DAS GRACAS   SN PIRAMBÚ FORTALEZA - CE CEP:60310770,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163548-4,R  JOSE BASTOS 3951  DAMAS FORTALEZA - CE CEP:60442108,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163558-1,R  MATOS VASCONCELLOS 900  DAMAS FORTALEZA - CE CEP:60440018,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
544626-0,R  NESTOR BARBOSA 315  SL-01 AMADEU FURTADO FORTALEZA - CE CEP:60455610,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
74512-0,R SEN POMPEU 1208  CENTRO FORTALEZA - CE CEP:60025000,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
137209-2,AV  OLAVO BILAC 1264  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
3128-3,AV  BEZERRA DE MENEZES 1256  SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
9824-8,R MAJ PEDRO SAMPAIO 300  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430180,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
73264-8,AV DOM MANUEL 244  CENTRO FORTALEZA - CE CEP:60060090,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
21225-3,R  TIBURCIO CAVALCANTI 509  MEIRELES FORTALEZA - CE CEP:60125100,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
239518-5,R  FERNANDO F. DE MELO 840  MANOEL SÁTIRO FORTALEZA - CE CEP:60713480,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163549-2,R  JOSE BASTOS 3945  DAMAS FORTALEZA - CE CEP:60442108,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
6128-0,R  JOSE FACANHA    VAZIO RODOLFO TEÓFILO FORTALEZA - CE CEP:60426112,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
63468-9,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
44361-1,R DOM JERONIMO   S/N FARIAS BRITO FORTALEZA - CE CEP:60011170,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
60512-3,AV  C (CONJ. PREF. JOSE WALTER) 435  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750020,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
73115-3,R CEL FERRAZ 120  CENTRO FORTALEZA - CE CEP:60060150,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
67423-0,R  GUILHERME ROCHA 1564  CENTRO FORTALEZA - CE CEP:60030141,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
65204-0,AV ALM BARROSO 1011  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060440,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
137208-4,AV  OLAVO BILAC 1364  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
39136-0,R MON SALAZAR 342  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130370,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
45338-2,AV  DA UNIVERSIDADE 1896  BENFICA FORTALEZA - CE CEP:60020180,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
78242-4,R  GUILHERME ROCHA   SN-2 CENTRO FORTALEZA - CE CEP:60030140,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
285004-4,R PDE PEDRO DE ALENCAR 281  MESSEJANA FORTALEZA - CE CEP:60840280,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
582158-4,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,Imunidade,Templos Religiosos
114056-6,AV MIN ALBUQUERQUE LIMA 270  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60533694,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
112272-0,AV  H (CONJ. CEARA II) 2477  GRANJA LISBOA FORTALEZA - CE CEP:60533667,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
237303-3,R TEN QUEIROS 400  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360170,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
297224-7,AV  BERNARDO MANUEL 13020  MONDUBIM FORTALEZA - CE CEP:60762704,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
18221-4,AV  SANTOS DUMONT 1383  ALDEOTA FORTALEZA - CE CEP:60150161,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
298974-3,R  FRANCISCO COSTA 55  JANGURUSSU FORTALEZA - CE CEP:60865220,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
536996-7,R PDE PERDIGAO SAMPAIO 400  QUINTINO CUNHA FORTALEZA - CE CEP:60352350,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
343106-1,R  BENTO GONCALVES 727  MANOEL SÁTIRO FORTALEZA - CE CEP:60763832,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
47250-6,R  GUILHERME MOREIRA 317  FÁTIMA FORTALEZA - CE CEP:60040490,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
281745-4,AV  JUSCELINO KUBITSCHEK 3707  PASSARÉ FORTALEZA - CE CEP:60861635,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
339998-2,AV  SANTOS DUMONT 6564  COCÓ FORTALEZA - CE CEP:60192022,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
5681-2,R  CASIMIRO MONTENEGRO 38  FARIAS BRITO FORTALEZA - CE CEP:60325720,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
178140-5,R CAP VASCONCELOS 445  ALTO DA BALANÇA FORTALEZA - CE CEP:60851225,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
373666-0,AV  AUGUSTO DOS ANJOS 2250  BONSUCESSO FORTALEZA - CE CEP:60542164,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
138644-1,R TEN MARQUES 520  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
419388-1,AV MAJ ASSIS 1480  JARDIM GUANABARA FORTALEZA - CE CEP:60346372,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
220878-4,R  BOM JESUS 1850  BOM JARDIM FORTALEZA - CE CEP:60540255,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
91954-3,AV  PASTEUR 861  ÁLVARO WEYNE FORTALEZA - CE CEP:60335000,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,Imunidade,Templos Religiosos
514361-6,R PRO JOAO BOSCO 501  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430690,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,Imunidade,Templos Religiosos
261635-1,AV  ROGACIANO LEITE 2468  QD.03 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821072,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304356-8,R  HONORINO MAIA 555  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
107850-0,R  FRANCISCO CALACA 1665  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
636476-4,R  PEDRO ESTANISLAU  LOTE 04 QUADRA 19 MESSEJANA FORTALEZA - CE CEP:60840470,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
159239-4,R IR BAZET 150  MONTESE FORTALEZA - CE CEP:60420670,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304357-6,R CEL JOSE DE MOURA   Q030 L002 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
18222-2,R BAR DE ARACATI 1145  ALDEOTA FORTALEZA - CE CEP:60115081,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
676041-4,AV FRE CIRILO 4340  MESSEJANA FORTALEZA - CE CEP:60840285,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
275507-6,AV CNS GOMES DE FREITAS 3400  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833104,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
291441-7,AV  GENIBAU 183  GENIBAÚ FORTALEZA - CE CEP:60534230,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
274252-7,R SAO FRANCISCO 50  BOM JARDIM FORTALEZA - CE CEP:60545064,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
27937-4,R PDE AMBROSIO MACHADO 199  PARREÃO FORTALEZA - CE CEP:60410355,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304360-6,R CEL JOSE DE MOURA   Q030_L005 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
285613-1,AV  WASHINGTON SOARES 8930  MESSEJANA FORTALEZA - CE CEP:60841032,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
107851-8,R  FRANCISCO CALACA 1621  IGREJA FLORESTA FORTALEZA - CE CEP:60336045,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
298617-5,R  VALPARAISO 830  JANGURUSSU FORTALEZA - CE CEP:60870440,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304355-0,AV  ISABEL BEZERRA   Q030 L013 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873175,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304359-2,R CEL JOSE DE MOURA   Q030 L004 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
419126-9,R PDE PERDIGAO SAMPAIO   PORCA B QUINTINO CUNHA FORTALEZA - CE CEP:60351695,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
578777-7,AV  BERNARDO MANUEL 11505  AEROPORTO FORTALEZA - CE CEP:60761281,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
304358-4,R CEL JOSE DE MOURA   Q030 L003 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,Imunidade,Templos Religiosos
149605-0,R  JOSE DE PONTES 202  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,ASSOCIACAO B DAS FILHAS DE SANTANA,Imunidade,Templos Religiosos
149604-2,R  JOSE DE PONTES 180  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,ASSOCIACAO B DAS FILHAS DE SANTANA,Imunidade,Templos Religiosos
149603-4,R  JOSE DE PONTES 160  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,ASSOCIACAO B DAS FILHAS DE SANTANA,Imunidade,Templos Religiosos
354729-9,R  F (LOT. CENTRO SUL) 42  PLANOURBANIZACAO-RSAOLUIZ PARANGABA FORTALEZA - CE CEP:60740155,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,Imunidade,Templos Religiosos
347041-5,R  FRANCISQUINHA PORTELA 2660  QUINTINO CUNHA FORTALEZA - CE CEP:60351840,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,Imunidade,Templos Religiosos
543068-2,R  AMETISTA 321  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,Imunidade,Templos Religiosos
293068-4,R  FRANCISCO ALMEIDA 245  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763595,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,Imunidade,Templos Religiosos
319738-7,R PRO SOLON FARIAS 509  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833172,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
175095-0,R PRO HERACLITO 196  VICENTE PINZON FORTALEZA - CE CEP:60181245,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
324991-3,R  CHICO FRANCA 710  MESSEJANA FORTALEZA - CE CEP:60871100,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
89249-1,AV  DIOGUINHO 5720 OUTRO TEMPLO RELIGIOSO PRAIA DO FUTURO II FORTALEZA - CE CEP:60183706,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
282250-4,R  PEDRO VERISSIMO 3536  PASSARÉ FORTALEZA - CE CEP:60861680,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
293286-5,R  RAQUEL PIRES RIBEIRO 495  MONDUBIM FORTALEZA - CE CEP:60767255,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
110549-3,R  WALTER POMPEU 670  ÁLVARO WEYNE FORTALEZA - CE CEP:60337120,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
494609-0,R  13 (CJ SITIO DO CORREGO) 500  BARROSO FORTALEZA - CE CEP:60863013,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
500429-2,AV  CONTORNO SUL (CONJ. SAO CRISTOVAO) 600  LTS 03. PL 4 E 5 JANGURUSSU FORTALEZA - CE CEP:60866590,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
162116-5,R FRE VICENTE SALVADOR 431  PARREÃO FORTALEZA - CE CEP:60410405,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
38470-4,R  CRUZ ABREU 604  TEMPLORELIGIOSO SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
279527-2,R  FRANCISCO VILELA 290  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861140,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
239156-2,R DR JOAO AMORA 528  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
119161-6,R  RERIUTABA 1415  VILA VELHA FORTALEZA - CE CEP:60330591,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
133881-1,R  CARLOS CHAGAS 2595  GRANJA PORTUGAL FORTALEZA - CE CEP:60541555,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
